西方史学之父是（）,希罗多德
人类最早的文明出现在（）,两河流域的苏美尔
奥古斯丁《上帝之城》中的世界历史只是宗教意义上的历史。,√
人类最早的农业中心不包括（）。,印度
玉米种植起源于（）。,中美洲
小麦的原产地是（）。,西亚
农业革命时期人类才知道种子能够生长的原理。,×
农业革命导致人类分化为农耕和游牧两种生活方式。,√
天狼星周期是（）,1460年
（）后，古埃及断绝了自己文字的历史记载。,公元640年
古埃及历法公有（）。,12个月
古埃及在地理上分为（）两部分。,上埃及|下埃及
利用“天狼星偕日升”重建的埃及年代学与历史记载完全符合。,×
古代中国的理性精神主要表现为人文理性。,√
《伊利亚特》中希腊联军第一勇士是（）,阿喀琉斯
《荷马史诗》中希腊第一智多星是（）。,奥德赛
奥德修斯德故乡是（）。,伊大卡
《荷马史诗》分为（）。,伊利亚特|奥德赛
特洛伊是非希腊城邦。,×
古代希腊仅限于今天希腊的一部分。,×
希腊城邦的本质特征是（）。,公民自治
伯罗奔尼撒同盟的主导城邦是（）。,斯巴达
希腊文化最大规模的对外输出是在（）。,希腊化时代
伯罗奔尼撒战争导致希腊世界由盛转衰。,
亚历山大帝国未能有效传播希腊文化。,×
屋大维何时在罗马建立元首制的独裁统治？（）,公元前27年
元首制的权力最接近（）。,无限期独裁官
骑士阶层是元首制的统治基础。,C
波斯帝国的建立者是（）。,居鲁士
贝希斯敦铭文记载的国王是（）。,大流士
大流士开始铸造统一的货币。,√
集中记载查士丁事迹的史书是（）。,《战争史》
（）查士丁尼关闭了雅典学园。,公元529年
,C
最为古老的吠陀是（）。,《梨俱吠陀》
主要从事祭祀工作的种姓是（）。,婆罗门
种姓制度本质是为了维护上层种姓的特权。,
中国传统中认为天子的权力来源于（）。,上天
周礼中士的祭祀对象是（）。,祖先
周礼中吉礼最重。,√
武士最高的效忠对象是（）。,幕府将军
日本第一个武士政权的建立者是（）。,源赖朝
武士道的本质是行动。,√
日耳曼人起源于（）。,斯堪的那维亚
在北非建立蛮族政权的是（）。,汪达尔人
日耳曼人进入罗马帝国后立即皈依了罗马天主教。,×
黑死病爆发初期应对的主要机构是（）。,天主教组织
天主教对黑死病爆发的解释是（）。,上帝对人类罪恶的惩罚
十四世纪的黑死病几乎席卷整个欧洲。,√
建立蒙古帝国的人是（）。,铁木真
蒙古较大的西征共有（）。,三次
成吉思汗主持了第二次蒙古西征。,×
最早开始探索新航路的欧洲国家是（）。,葡萄牙
第一个到达好望角的航海家是（）。,迪亚士
哥伦布到达美洲后认识到他抵达了一个新大陆。,×
《九十五条论纲》发表的年代是（）。,1517年
《威斯特伐利亚和约》签订于（）。,1648年
路德在《九十五条论纲》完全否定了教皇的权威。,C
康德对启蒙的经典定义发表于（）。,1784年
法国启蒙运动中的领袖人物是（）。,伏尔泰
法国启蒙导致的政治革命开始于（）。,1789年
苏格兰启蒙运动注重研究人性。,√
理性不会犯。,×
16世纪欧洲人使用的火枪主要是（）。,火绳枪
现代炸药的发明者是（）。,诺贝尔
火绳枪可以全天候使用。,A
组建欧洲第一支常备军的是（）。,法国查理七世
普鲁士最杰出的军事理论家是（）,克劳塞维茨
克劳塞维茨认为战争是政治的继续。,√
“文明开化”的核心是（）。,改革教育
日本第一个研究西方民主的组织是（）。,明六社
“文明开化”受到全体日本人的欢迎。,×
“山巅之城”的概念引于（）。,《马太福音》
《山巅之城》布道词核心内容不包括（）。,宗教宽容
温斯洛普在美国历史发展中所作的贡献与其在美国史学中所应有的地位是相称的。,D
美国诞生于（）。,1776年7月4日
美国国旗第五十颗星代表（）。,夏威夷州
在一根旗杆上升起若干面旗帜，国旗必须立于最上面。,B
托马斯·杰斐逊生于（）,弗吉尼亚州
托马斯·杰斐逊在1803年主持购买了（）。,路易斯安那
起草《1787年宪法》前10条修正案的是（）。,詹姆斯·麦迪逊
美国《1787年宪法》中没有关于人民自由权利的条款。,√
联邦参议员名额按照（）。,按州划分
林肯-道格拉斯奴隶制辩论发生在（）。,1858年
美国宪法直接承认奴隶制合法。,×
第一次工业革命发生于（）。,十八世纪六七十年代
发明轮船的是（）。,富尔顿
第一次工业革命起源于英国。,√
第二次工业革命的主要能源是（）。,石油
建立电磁理论体系的是（）。,麦克斯韦
第二次工业革命几乎同时在世界几大强国出现。,√
德意志第二帝国建立于（）。,1871年
一战前的欧洲火药桶在（）。,北欧
一战本质上是一场帝国主义争霸战争。,√
未在《凡尔赛合约》上签字的国家是（）。,美国
一战结束后取得欧陆第一强国地位的国家是（）。,法国
