世界三人种不包括（）。,非洲人种
关于文化的描述，不正确的是（）。,民族语言是民族存亡之根
区分民不同民族的标准是（）。,文化
距今约八万年左右时，古人类开始分化成三大人种。（）,×
人类最早发现的头骨是肯尼亚1470号头骨。（）,√
关于顾炎武的描述，不正确的是（）。,生于清末
以下哪国的文化是原生文明？（）,中国
“无科技不足以强国，无文化则足以亡种”出自（）之口。,许嘉璐
民族文化消失，民族最终会走向消亡。（）,√
世界上古典哲学最发达的国家是（）。,德国
“月亮是美国的圆”出自（）之口。,胡适
《国史大纲》的作者是（）。,钱穆
胡适把今人之过错推卸到两千年前的古人身上。（）,√
科学技术和民族精神都可以从西方引进。（）,×
世称“安定先生”的是（）。,胡瑗
“自强不息、厚德载物”是哪所学校的校训。（）,清华大学
中国考古学之父是（）。,李济
钱伟长是中国近代应用数学奠基人之一。（）,√
华罗庚是中国近代物理学的奠基人之一。（）,×
中国传统知识分子以（）为己任。（）,天下
“先天下之忧而忧，后天下之乐而乐”出自（）之口。,范仲淹
《正气歌》出自（）之口。,文天祥
西方文化冲击下传统价值观被颠覆。（）,√
《岳阳楼记》是范仲淹的作品。（）,√
湘西的典型建筑是（）。,吊脚楼
（）是立国之本，中国传统文化是流淌在每一个中国人身上的血液。,文化
《文化领土论》中“在未来的世纪里，传统意义上的国界在实际上将不复存在，代之而起的是按照（）划分的领土”。（）,文化影响
每一个中国人都应该文化自信、民族自尊、文化自主。（）,√
东西方文化之争表明中国无法建设一个和谐的社会。（）,×|杭州人
“殷人尊神，率民以事神，先鬼而后礼”出自（）之口。（）,《礼记·表记》
商朝第23位国王，庙号高宗的是（）。,武丁
现今存在有很多被确认的夏朝遗址。（）,×
殷墟王陵区每一个墓里面都埋着一个周王。（）,×
关于周公旦的表述，不正确的是（）。,西周初期神学家、军事家和教育家
（）奠定了中国文化的底蕴。,周公制礼乐
以下出自《周易·观卦》的是（）。,观国之光
以下哪国的民本主义思想最浓？（）,√
我国西周时期已经意识到了人的重要性，而且已经意识到社会的兴亡与道德有关。（）,√
出自《左传·成公十三年》的是（）。,礼，身之干也；敬，身之基也
叔向是我国春秋时期晋国政治家。（）,√
物质生活长期得不到很好的解决，将会引发社会动乱。（）,√
被后人尊为“述圣”的是（）。,子思
“礼学时代”指的是（）。,子思学派
新亚书院由谁创办？（）,钱穆
（）是整个中国人世界里一切习俗行为的准则，标志着中国的特殊性。,礼
“通过音乐解决心的问题”是道家的思想。（）,×
人的身与心要和谐一定要通过礼乐。（）,√
考古学家认为，人与动物的区别是（）。,使用工具
（）是人区别于动物的根本标志。,礼
“是故圣人作，为礼以教人，使人以有礼，知自别于禽兽”出自（）。,《礼记》
孔子作《春秋》的目的是使后人可以见微知著。（）,√
人的脑容量小于大猩猩的脑容量。（）,×
从无知的本体成为有境界的圣贤，需要（）。,学习、修为
“孔子之作春秋也，诸侯用夷礼，则夷之；进于中国，则中国之”出自（）,《原道》
“学问之道无他，求其放心而已矣。”出自（）。,《孟子·告子上》
韩愈著有《原道》。（）,√
中华民族文化认同的核心不能丢（）。,√
（）是中国人立身的一个根本。,诚
“诚者，天之道也；诚之者，人之道也。”出自（）。,《中庸》
“巧言令色，鲜矣仁”出自（）。,√
人应该经常审视自己是否还是一个真实的存在（）。,√
宇宙的规律是（）。,诚
汉高祖指的是（）。,刘邦
关于张苍的表述，不正确的是（）。,思想家
中国古人将宇宙之道哲理化用以指导人类的人生和社会（）。,√
诚是中华民族的一个传统美德（）。,√
“君子与人之交，必须验行，不得以其言辞之善，则谓行之尽善”出自（）。,孔颖达
以下哪项不是《礼记》中的内容？（）,《史记》
《礼记》的第一篇内容是（）。,毋不敬
“不以辞尽人”的意思是不在人的面前说坏话（）。,×
孔颖达，字冲远，是宋代经学家（）。,×
“君子所以异于人者，以其存心也”出自（）。,孟子
表达敬意的原则不包括（）。,尊幼
跟平辈相处时表达敬意的原则是（）。,自谦
“老吾老以及人之老，幼吾幼以及人之幼，天下可运于掌”出自《孟子·梁惠王上》。（）,√
君子有九思，其中“九思”不包括视、色、疑。（）,×
“令尊”指的是（）。,对方的父亲
礼仪之始，在于（）。,正衣冠
“太史公牛马走再拜言”出自（）。,《史记》
进退亦步亦趋是表达敬意的方式之一（）。,√
子路生来就格外注重个人着装的整洁（）。,×
“一沐三握发，一饭三吐哺”出自（）。,韩婴
“长者先，幼者后”出自（）。,《弟子规》
“谦卦六爻皆吉，恕字终身可行”出自（）。,《楹联丛话》
曾国藩字伯涵，号涤生，是清初军事家。（）。,×
彭林老师主张大家高调做事。（）,×
“余音绕梁，三日不绝”出自（）。,《列子·汤问》
十二律是模仿谁的声音而发明的（）。,凤凰
音乐里面最基本的是（）。,十二律
尧典是《尚书》的第几篇？（）,第一
十二律分为八律和四吕。（）,×
“八音”指的是金、石、丝、竹、土、革、匏、木。（）,√
陕西人喜欢唱的是（）。,秦腔
“凡音者，生人心者也；情动于中，故形于身”出自（）。,《礼记·乐记》
《吕氏春秋》不涉及音乐方面的内容。（）,×
音乐跟人的情感无关。（）,×
“恶紫之夺朱也，恶郑声之乱雅乐也，恶利口之覆邦家者”出自（）。,《论语·阳货》
夏禹时的圣乐是（）、,《夏迭》
“宋之衰也，作为千钟。齐之衰也，作为大吕”出自（）。,《吕氏春秋·侈乐》
《大章》是哪个盛世的代表歌曲？（）,尧
《诗经》的十五个国风是采风采来的。（）,√
李德伦是意大利著名指挥家。（）,×
“今夫新乐，进俯退俯，奸声以滥，溺而不止”出自（）。,《礼记·乐礼》
陶冶心性最好的就是（）。,音乐
乡饮酒礼中有乐教。（）,√
“十里不同风，百里不同俗”体现的是（）。,多样性
关于郑玄的描述，不正确的是（）。,法学家者|清代重要的思想家
“俗谓土地所生习也”出自（）。,郑玄
俗是一定要遵守的规范。（）,×
风俗在上古时代就已经出现。（）,√
“贤贤易色”中第一个“贤”的词性是（）。,动词
中华文明的源头是（）。,虞夏商周
虞夏崇尚的是（）。,质
秦穆公，名任好，是春秋时期秦国国君。（）,√
“事父母能竭其力，事君能致其身”讲的是不忠不义。（）,×
“吾日三省吾身”出自（）。,曾子
“巧言令色足恭”出自（）。,《论语·公冶长》
“公如晋，自郊劳至于赠贿，无失礼”出自《左传·昭公五年》。（）,√
奥运礼仪小姐的训练是（）。,求形似不求神似
“千手观音”的导演是（）。,张继刚
经调查，大概有多少女性对自己的长相不自信？（）,0.54
影片《铁人》讲述的是什么地方的事？（）,大庆
以下哪个国家非常重视仪式？（）,美国
仪式强化了历史记忆。（）,√
任何一个文明民族都有属于自己民族的礼仪。（）,√
氏族社会时期，未成年人到达成人年龄后，氏族用各种方式测验其生存技能，以确定其能否成为氏族正式成员的仪式是（）。,成丁礼
《仪礼》有十七篇，第一篇是（）。,士冠礼
澳洲发展缓慢的一些地区，还存有成人仪式，成年礼的科目有负重跑、攀岩、忍受毒虫叮咬等。（）,√
随着社会的进步，世界上已经不存在成丁礼。（）,×
据《礼记·内则》，几岁要学会礼让？（）,八岁
以下哪项是地支？（）,申
以下哪项不属于六艺的内容？（）,骑
“曲礼”中的“曲”是“大”的意思。（）,×
“男子二十冠而字”出自《礼记·曲礼上》。（）,√
士冠礼共有几次？（）,三次
“缁布冠”是指什么颜色的帽子？（）,黑色
礼仪之始在于（）。,正衣冠
第一次加冠的人站得最低。（）,×
第一次加冠和第二次加冠的帽子是一致的。（）,×
以下哪个代表老三？（）,叔
孔丘的字是（）。,仲尼
古人不仅有名还有字。（）,√
“吾子勉之，有宣子之忠，而纳之以成子之文，事君必济”出自《国语》。（）,√
《说苑·修文》的作者是（）。,刘向
从南北朝至什么时候，冠礼一度废而不行？（）,隋唐
儒家文化反对笄礼。（）,×
《礼记·杂记》中说，“女子十有五年许嫁，笄而字”。（）,√
“男女之大防”出自（）。,《坊记》
（）是万事之始。,婚礼
《周易》讲的是阴阳，阴阳指（）。,男女
什么关系是人类社会所有伦理关系中最基础的关系？（）,夫妇
古人认为，婚配对社会很重要，且婚配中的男方更为重要。（）,×
动物界种族繁衍的基础是两性结合。（）,√
“夫妇之际，人道之大伦也”出自（）。,《史记》
朱熹将结婚简化为三礼，其中不包括（）。,问名
“提亲”即是（）。,纳彩
贵族里面最低的等级是（）。,士
儒家一直很看不起妇女。（）,×
